alder_atshock,count
26,.009734867312425
27,.0105107471480354
28,.0110199182901548
29,.0117836750033339
30,.012668662940827
31,.0140022064082825
32,.0152630111411495
33,.0165116927515851
34,.0205123231539515
35,.0219549747232897
36,.0249615090862803
37,.0265981306145211
38,.0305623916495933
39,.0333143404415241
40,.0375453101700874
41,.0413519706135512
42,.0471831925030611
43,.0492198770715385
44,.0517899790269982
45,.0527719519439427
46,.0521415495775092
47,.0527961981888055
48,.0523355195364118
49,.0503109580903658
50,.04691648380957
51,.0433644089371659
52,.0384181749851492
53,.0340174815425461
54,.0292409713045692
55,.0228520857832143
56,.0169723714039788
57,.011698813146314
58,.0064616242559434
59,.0032126274443246
